vid_path,id_label,label,category
clips/74/6.MOV,74,RED,COLOR
clips/4/2.MOV,4,HOW ARE YOU,GREETING
clips/8/17.MOV,8,YOURE WELCOME,GREETING
clips/82/14.MOV,82,VIOLET,COLOR
clips/73/2.MOV,73,GREEN,COLOR
clips/84/17.MOV,84,DARK,COLOR
clips/83/14.MOV,83,LIGHT,COLOR
clips/73/0.MOV,73,GREEN,COLOR
clips/78/10.MOV,78,YELLOW,COLOR
clips/3/8.MOV,3,HELLO,GREETING
clips/1/0.MOV,1,GOOD AFTERNOON,GREETING
clips/75/5.MOV,75,BROWN,COLOR
clips/82/6.MOV,82,VIOLET,COLOR
clips/78/14.MOV,78,YELLOW,COLOR
clips/0/18.MOV,0,GOOD MORNING,GREETING
clips/75/7.MOV,75,BROWN,COLOR
clips/4/20.MOV,4,HOW ARE YOU,GREETING
clips/5/10.MOV,5,IM FINE,GREETING
clips/78/19.MOV,78,YELLOW,COLOR
clips/4/15.MOV,4,HOW ARE YOU,GREETING
clips/2/2.MOV,2,GOOD EVENING,GREETING
clips/79/15.MOV,79,ORANGE,COLOR
clips/1/2.MOV,1,GOOD AFTERNOON,GREETING
clips/4/16.MOV,4,HOW ARE YOU,GREETING
clips/80/2.MOV,80,GRAY,COLOR
clips/7/12.MOV,7,THANK YOU,GREETING
clips/82/4.MOV,82,VIOLET,COLOR
clips/75/11.MOV,75,BROWN,COLOR
clips/76/11.MOV,76,BLACK,COLOR
clips/81/7.MOV,81,PINK,COLOR
clips/1/15.MOV,1,GOOD AFTERNOON,GREETING
clips/74/16.MOV,74,RED,COLOR
clips/81/3.MOV,81,PINK,COLOR
clips/3/1.MOV,3,HELLO,GREETING
clips/1/12.MOV,1,GOOD AFTERNOON,GREETING
clips/80/16.MOV,80,GRAY,COLOR
clips/77/0.MOV,77,WHITE,COLOR
clips/6/21.MOV,6,NICE TO MEET YOU,GREETING
clips/7/1.MOV,7,THANK YOU,GREETING
clips/74/12.MOV,74,RED,COLOR
clips/73/5.MOV,73,GREEN,COLOR
clips/75/4.MOV,75,BROWN,COLOR
clips/83/15.MOV,83,LIGHT,COLOR
clips/81/17.MOV,81,PINK,COLOR
clips/73/12.MOV,73,GREEN,COLOR
clips/1/3.MOV,1,GOOD AFTERNOON,GREETING
clips/1/11.MOV,1,GOOD AFTERNOON,GREETING
clips/80/6.MOV,80,GRAY,COLOR
clips/82/11.MOV,82,VIOLET,COLOR
clips/3/9.MOV,3,HELLO,GREETING
clips/4/14.MOV,4,HOW ARE YOU,GREETING
clips/83/8.MOV,83,LIGHT,COLOR
clips/79/4.MOV,79,ORANGE,COLOR
clips/76/5.MOV,76,BLACK,COLOR
clips/74/0.MOV,74,RED,COLOR
clips/8/18.MOV,8,YOURE WELCOME,GREETING
clips/83/2.MOV,83,LIGHT,COLOR
clips/79/9.MOV,79,ORANGE,COLOR
clips/77/18.MOV,77,WHITE,COLOR
clips/76/6.MOV,76,BLACK,COLOR
clips/75/17.MOV,75,BROWN,COLOR
clips/83/7.MOV,83,LIGHT,COLOR
clips/83/19.MOV,83,LIGHT,COLOR
clips/81/1.MOV,81,PINK,COLOR
clips/83/6.MOV,83,LIGHT,COLOR
clips/81/12.MOV,81,PINK,COLOR
clips/4/6.MOV,4,HOW ARE YOU,GREETING
clips/76/0.MOV,76,BLACK,COLOR
clips/83/5.MOV,83,LIGHT,COLOR
clips/5/17.MOV,5,IM FINE,GREETING
clips/4/12.MOV,4,HOW ARE YOU,GREETING
clips/9/3.MOV,9,SEE YOU TOMORROW,GREETING
clips/5/13.MOV,5,IM FINE,GREETING
clips/4/10.MOV,4,HOW ARE YOU,GREETING
clips/8/4.MOV,8,YOURE WELCOME,GREETING
clips/81/9.MOV,81,PINK,COLOR
clips/3/18.MOV,3,HELLO,GREETING
clips/6/16.MOV,6,NICE TO MEET YOU,GREETING
clips/78/4.MOV,78,YELLOW,COLOR
clips/80/12.MOV,80,GRAY,COLOR
clips/9/10.MOV,9,SEE YOU TOMORROW,GREETING
clips/3/5.MOV,3,HELLO,GREETING
clips/75/1.MOV,75,BROWN,COLOR
clips/78/16.MOV,78,YELLOW,COLOR
clips/1/4.MOV,1,GOOD AFTERNOON,GREETING
clips/3/0.MOV,3,HELLO,GREETING
clips/77/1.MOV,77,WHITE,COLOR
clips/6/12.MOV,6,NICE TO MEET YOU,GREETING
clips/7/2.MOV,7,THANK YOU,GREETING
clips/83/12.MOV,83,LIGHT,COLOR
clips/2/4.MOV,2,GOOD EVENING,GREETING
clips/84/13.MOV,84,DARK,COLOR
clips/0/10.MOV,0,GOOD MORNING,GREETING
clips/1/14.MOV,1,GOOD AFTERNOON,GREETING
clips/8/16.MOV,8,YOURE WELCOME,GREETING
clips/78/2.MOV,78,YELLOW,COLOR
clips/3/16.MOV,3,HELLO,GREETING
clips/77/16.MOV,77,WHITE,COLOR
clips/73/13.MOV,73,GREEN,COLOR
clips/72/18.MOV,72,BLUE,COLOR
clips/7/7.MOV,7,THANK YOU,GREETING
clips/82/18.MOV,82,VIOLET,COLOR
clips/76/1.MOV,76,BLACK,COLOR
clips/75/0.MOV,75,BROWN,COLOR
clips/76/3.MOV,76,BLACK,COLOR
clips/1/1.MOV,1,GOOD AFTERNOON,GREETING
clips/75/12.MOV,75,BROWN,COLOR
clips/72/7.MOV,72,BLUE,COLOR
clips/9/14.MOV,9,SEE YOU TOMORROW,GREETING
clips/4/0.MOV,4,HOW ARE YOU,GREETING
clips/80/0.MOV,80,GRAY,COLOR
clips/7/10.MOV,7,THANK YOU,GREETING
clips/0/13.MOV,0,GOOD MORNING,GREETING
clips/1/18.MOV,1,GOOD AFTERNOON,GREETING
clips/82/0.MOV,82,VIOLET,COLOR
clips/8/3.MOV,8,YOURE WELCOME,GREETING
clips/6/3.MOV,6,NICE TO MEET YOU,GREETING
clips/83/0.MOV,83,LIGHT,COLOR
clips/8/11.MOV,8,YOURE WELCOME,GREETING
clips/84/4.MOV,84,DARK,COLOR
clips/7/19.MOV,7,THANK YOU,GREETING
clips/79/7.MOV,79,ORANGE,COLOR
clips/79/16.MOV,79,ORANGE,COLOR
clips/75/14.MOV,75,BROWN,COLOR
clips/74/17.MOV,74,RED,COLOR
clips/9/0.MOV,9,SEE YOU TOMORROW,GREETING
clips/5/8.MOV,5,IM FINE,GREETING
clips/75/19.MOV,75,BROWN,COLOR
clips/2/19.MOV,2,GOOD EVENING,GREETING
clips/4/18.MOV,4,HOW ARE YOU,GREETING
clips/79/6.MOV,79,ORANGE,COLOR
