vid_path,id_label,label,category
clips\47\2.MOV,47,SATURDAY,DAYS
clips\34\8.MOV,34,MAY,CALENDAR
clips\45\5.MOV,45,THURSDAY,DAYS
clips\33\7.MOV,33,APRIL,CALENDAR
clips\36\20.MOV,36,JULY,CALENDAR
clips\45\0.MOV,45,THURSDAY,DAYS
clips\51\0.MOV,51,YESTERDAY,DAYS
clips\44\6.MOV,44,WEDNESDAY,DAYS
clips\43\3.MOV,43,TUESDAY,DAYS
clips\48\11.MOV,48,SUNDAY,DAYS
clips\36\19.MOV,36,JULY,CALENDAR
clips\44\4.MOV,44,WEDNESDAY,DAYS
clips\47\16.MOV,47,SATURDAY,DAYS
clips\41\12.MOV,41,DECEMBER,CALENDAR
clips\31\5.MOV,31,FEBRUARY,CALENDAR
clips\40\14.MOV,40,NOVEMBER,CALENDAR
clips\38\15.MOV,38,SEPTEMBER,CALENDAR
clips\34\19.MOV,34,MAY,CALENDAR
clips\46\15.MOV,46,FRIDAY,DAYS
clips\40\0.MOV,40,NOVEMBER,CALENDAR
clips\44\1.MOV,44,WEDNESDAY,DAYS
clips\31\18.MOV,31,FEBRUARY,CALENDAR
clips\47\17.MOV,47,SATURDAY,DAYS
clips\47\15.MOV,47,SATURDAY,DAYS
clips\33\10.MOV,33,APRIL,CALENDAR
clips\46\8.MOV,46,FRIDAY,DAYS
clips\51\16.MOV,51,YESTERDAY,DAYS
clips\37\6.MOV,37,AUGUST,CALENDAR
clips\48\9.MOV,48,SUNDAY,DAYS
clips\47\9.MOV,47,SATURDAY,DAYS
clips\37\15.MOV,37,AUGUST,CALENDAR
clips\30\10.MOV,30,JANUARY,CALENDAR
clips\38\5.MOV,38,SEPTEMBER,CALENDAR
clips\38\8.MOV,38,SEPTEMBER,CALENDAR
clips\37\16.MOV,37,AUGUST,CALENDAR
clips\32\5.MOV,32,MARCH,CALENDAR
clips\45\8.MOV,45,THURSDAY,DAYS
clips\38\3.MOV,38,SEPTEMBER,CALENDAR
clips\46\6.MOV,46,FRIDAY,DAYS
clips\42\16.MOV,42,MONDAY,DAYS
clips\49\4.MOV,49,TODAY,DAYS
clips\48\12.MOV,48,SUNDAY,DAYS
clips\48\1.MOV,48,SUNDAY,DAYS
clips\30\11.MOV,30,JANUARY,CALENDAR
clips\51\9.MOV,51,YESTERDAY,DAYS
clips\38\17.MOV,38,SEPTEMBER,CALENDAR
clips\42\10.MOV,42,MONDAY,DAYS
clips\40\8.MOV,40,NOVEMBER,CALENDAR
clips\33\15.MOV,33,APRIL,CALENDAR
clips\42\5.MOV,42,MONDAY,DAYS
clips\34\20.MOV,34,MAY,CALENDAR
clips\51\4.MOV,51,YESTERDAY,DAYS
clips\39\9.MOV,39,OCTOBER,CALENDAR
clips\31\4.MOV,31,FEBRUARY,CALENDAR
clips\34\17.MOV,34,MAY,CALENDAR
clips\37\14.MOV,37,AUGUST,CALENDAR
clips\32\1.MOV,32,MARCH,CALENDAR
clips\43\2.MOV,43,TUESDAY,DAYS
clips\43\11.MOV,43,TUESDAY,DAYS
clips\30\18.MOV,30,JANUARY,CALENDAR
clips\30\12.MOV,30,JANUARY,CALENDAR
clips\44\17.MOV,44,WEDNESDAY,DAYS
clips\36\12.MOV,36,JULY,CALENDAR
clips\35\19.MOV,35,JUNE,CALENDAR
clips\45\4.MOV,45,THURSDAY,DAYS
clips\32\14.MOV,32,MARCH,CALENDAR
clips\47\4.MOV,47,SATURDAY,DAYS
clips\48\2.MOV,48,SUNDAY,DAYS
clips\34\13.MOV,34,MAY,CALENDAR
clips\41\19.MOV,41,DECEMBER,CALENDAR
clips\39\0.MOV,39,OCTOBER,CALENDAR
clips\49\12.MOV,49,TODAY,DAYS
clips\34\4.MOV,34,MAY,CALENDAR
clips\36\15.MOV,36,JULY,CALENDAR
clips\31\12.MOV,31,FEBRUARY,CALENDAR
clips\41\0.MOV,41,DECEMBER,CALENDAR
clips\46\17.MOV,46,FRIDAY,DAYS
clips\47\12.MOV,47,SATURDAY,DAYS
clips\51\1.MOV,51,YESTERDAY,DAYS
clips\30\0.MOV,30,JANUARY,CALENDAR
clips\49\14.MOV,49,TODAY,DAYS
clips\33\13.MOV,33,APRIL,CALENDAR
clips\32\2.MOV,32,MARCH,CALENDAR
clips\45\16.MOV,45,THURSDAY,DAYS
clips\50\10.MOV,50,TOMORROW,DAYS
clips\32\0.MOV,32,MARCH,CALENDAR
clips\31\6.MOV,31,FEBRUARY,CALENDAR
clips\44\19.MOV,44,WEDNESDAY,DAYS
clips\33\16.MOV,33,APRIL,CALENDAR
clips\31\10.MOV,31,FEBRUARY,CALENDAR
clips\43\15.MOV,43,TUESDAY,DAYS
clips\39\3.MOV,39,OCTOBER,CALENDAR
clips\46\4.MOV,46,FRIDAY,DAYS
clips\50\14.MOV,50,TOMORROW,DAYS
clips\39\10.MOV,39,OCTOBER,CALENDAR
clips\35\14.MOV,35,JUNE,CALENDAR
clips\39\5.MOV,39,OCTOBER,CALENDAR
clips\43\7.MOV,43,TUESDAY,DAYS
clips\51\12.MOV,51,YESTERDAY,DAYS
clips\42\3.MOV,42,MONDAY,DAYS
clips\49\10.MOV,49,TODAY,DAYS
clips\34\2.MOV,34,MAY,CALENDAR
clips\41\10.MOV,41,DECEMBER,CALENDAR
clips\35\10.MOV,35,JUNE,CALENDAR
clips\43\6.MOV,43,TUESDAY,DAYS
clips\33\5.MOV,33,APRIL,CALENDAR
clips\46\2.MOV,46,FRIDAY,DAYS
clips\32\11.MOV,32,MARCH,CALENDAR
clips\36\8.MOV,36,JULY,CALENDAR
clips\47\11.MOV,47,SATURDAY,DAYS
clips\45\15.MOV,45,THURSDAY,DAYS
clips\36\11.MOV,36,JULY,CALENDAR
clips\35\5.MOV,35,JUNE,CALENDAR
clips\32\9.MOV,32,MARCH,CALENDAR
clips\35\6.MOV,35,JUNE,CALENDAR
clips\33\12.MOV,33,APRIL,CALENDAR
clips\41\5.MOV,41,DECEMBER,CALENDAR
clips\48\17.MOV,48,SUNDAY,DAYS
clips\49\5.MOV,49,TODAY,DAYS
clips\40\2.MOV,40,NOVEMBER,CALENDAR
clips\42\6.MOV,42,MONDAY,DAYS
clips\34\12.MOV,34,MAY,CALENDAR
clips\39\13.MOV,39,OCTOBER,CALENDAR
clips\36\7.MOV,36,JULY,CALENDAR
clips\37\9.MOV,37,AUGUST,CALENDAR
clips\43\8.MOV,43,TUESDAY,DAYS
clips\45\7.MOV,45,THURSDAY,DAYS
clips\44\7.MOV,44,WEDNESDAY,DAYS
clips\46\0.MOV,46,FRIDAY,DAYS
clips\34\11.MOV,34,MAY,CALENDAR
clips\49\9.MOV,49,TODAY,DAYS
clips\45\3.MOV,45,THURSDAY,DAYS
clips\34\5.MOV,34,MAY,CALENDAR
clips\50\20.MOV,50,TOMORROW,DAYS
clips\41\13.MOV,41,DECEMBER,CALENDAR
clips\43\12.MOV,43,TUESDAY,DAYS
clips\45\14.MOV,45,THURSDAY,DAYS
clips\41\3.MOV,41,DECEMBER,CALENDAR
clips\35\13.MOV,35,JUNE,CALENDAR
